Unnamed: 0,time,Madrid_wind_speed,Valencia_wind_deg,Bilbao_rain_1h,Valencia_wind_speed,Seville_humidity,Madrid_humidity,Bilbao_clouds_all,Bilbao_wind_speed,Seville_clouds_all,Bilbao_wind_deg,Barcelona_wind_speed,Barcelona_wind_deg,Madrid_clouds_all,Seville_wind_speed,Barcelona_rain_1h,Seville_pressure,Seville_rain_1h,Bilbao_snow_3h,Barcelona_pressure,Seville_rain_3h,Madrid_rain_1h,Barcelona_rain_3h,Valencia_snow_3h,Madrid_weather_id,Barcelona_weather_id,Bilbao_pressure,Seville_weather_id,Valencia_pressure,Seville_temp_max,Madrid_pressure,Valencia_temp_max,Valencia_temp,Bilbao_weather_id,Seville_temp,Valencia_humidity,Valencia_temp_min,Barcelona_temp_max,Madrid_temp_max,Barcelona_temp,Bilbao_temp_min,Bilbao_temp,Barcelona_temp_min,Bilbao_temp_max,Seville_temp_min,Madrid_temp,Madrid_temp_min
0,2015-01-01 03:00:00,0.6666666667,level_5,0.0,0.6666666667,74.3333333333,64.0,0.0,1.0,0.0,223.3333333333,6.3333333333,42.6666666667,0.0,3.3333333333,0.0,sp25,0.0,0.0,1036.3333333333,0.0,0.0,0.0,0.0,800.0,800.0,1035.0,800.0,1002.6666666667,274.2546666667,971.3333333333,269.888,269.888,800.0,274.2546666667,75.6666666667,269.888,281.013,265.938,281.013,269.3386145833,269.3386145833,281.013,269.3386145833,274.2546666667,265.938,265.938
1,2015-01-01 06:00:00,0.3333333333,level_10,0.0,1.6666666667,78.3333333333,64.6666666667,0.0,1.0,0.0,221.0,4.0,139.0,0.0,3.3333333333,0.0,sp25,0.0,0.0,1037.3333333333,0.0,0.0,0.0,0.0,800.0,800.0,1035.6666666667,800.0,1004.3333333333,274.945,972.6666666667,271.7283333333,271.7283333333,800.0,274.945,71.0,271.7283333333,280.5616666667,266.3866666667,280.5616666667,270.376,270.376,280.5616666667,270.376,274.945,266.3866666667,266.3866666667
2,2015-01-01 09:00:00,1.0,level_9,0.0,1.0,71.3333333333,64.3333333333,0.0,1.0,0.0,214.3333333333,2.0,326.0,0.0,2.6666666667,0.0,sp25,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.3333333333,278.792,974.0,278.0086666667,278.0086666667,800.0,278.792,65.6666666667,278.0086666667,281.5836666667,272.7086666667,281.5836666667,275.0272291667,275.0272291667,281.5836666667,275.0272291667,278.792,272.7086666667,272.7086666667
3,2015-01-01 12:00:00,1.0,level_8,0.0,1.0,65.3333333333,56.3333333333,0.0,1.0,0.0,199.6666666667,2.3333333333,273.0,0.0,4.0,0.0,sp25,0.0,0.0,1037.0,0.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1009.0,285.394,994.6666666667,284.8995520833,284.8995520833,800.0,285.394,54.0,284.8995520833,283.4341041667,281.89521875,283.4341041667,281.1350625,281.1350625,283.4341041667,281.1350625,285.394,281.89521875,281.89521875
4,2015-01-01 15:00:00,1.0,level_7,0.0,1.0,59.0,57.0,2.0,0.3333333333,0.0,185.0,4.3333333333,260.0,0.0,3.0,0.0,sp25,0.0,0.0,1035.0,0.0,0.0,0.0,0.0,800.0,800.0,1035.3333333333,800.0,,285.51371875,1035.3333333333,283.0151145833,283.0151145833,800.0,285.51371875,58.3333333333,283.0151145833,284.2131666667,280.6784375,284.2131666667,282.2520625,282.2520625,284.2131666667,282.2520625,285.51371875,280.6784375,280.6784375
5,2015-01-01 18:00:00,1.0,level_7,0.0,1.0,69.6666666667,67.3333333333,12.3333333333,0.6666666667,0.0,191.3333333333,4.6666666667,254.6666666667,0.0,2.6666666667,0.0,sp25,0.0,0.0,1035.6666666667,0.0,0.0,0.0,0.0,800.0,800.0,1035.6666666667,800.0,,282.07784375,1013.3333333333,277.6225625,277.6225625,800.6666666667,282.07784375,72.6666666667,277.6225625,284.165625,274.6392291667,284.165625,277.919,277.919,284.165625,277.919,282.07784375,274.6392291667,274.6392291667
6,2015-01-01 21:00:00,1.0,level_8,0.0,1.0,83.6666666667,63.3333333333,16.3333333333,1.0,0.0,210.3333333333,3.3333333333,276.0,0.0,2.0,0.0,sp25,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1006.0,277.637,974.3333333333,272.2703333333,272.2703333333,800.6666666667,277.637,83.3333333333,272.2703333333,283.4203333333,268.287,283.4203333333,274.2954375,274.2954375,283.4203333333,274.2954375,277.637,268.287,268.287
7,2015-01-02 00:00:00,1.0,level_9,0.0,1.0,83.6666666667,64.0,8.6666666667,1.3333333333,0.0,238.6666666667,2.0,310.0,0.0,2.3333333333,0.0,sp25,0.0,0.0,1037.6666666667,0.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.6666666667,276.4573333333,974.6666666667,271.0406666667,271.0406666667,800.3333333333,276.4573333333,82.0,271.0406666667,282.474,266.8823333333,282.474,272.9031666667,272.9031666667,282.474,272.9031666667,276.4573333333,266.8823333333,266.8823333333
8,2015-01-02 03:00:00,1.0,level_9,0.0,1.0,86.0,63.3333333333,5.3333333333,1.0,0.0,258.3333333333,1.6666666667,338.0,0.0,3.0,0.0,sp25,0.0,0.0,1037.3333333333,0.0,0.0,0.0,0.0,800.0,800.0,1036.6666666667,800.0,1005.3333333333,276.1516666667,974.3333333333,270.535,270.535,800.0,276.1516666667,80.6666666667,270.535,281.7266666667,266.2266666667,281.7266666667,271.7801145833,271.7801145833,281.7266666667,271.7801145833,276.1516666667,266.2266666667,266.2266666667
9,2015-01-02 06:00:00,1.0,level_9,0.0,1.3333333333,87.0,63.6666666667,15.3333333333,1.0,0.0,255.3333333333,1.0,329.0,0.0,3.0,0.0,sp25,0.0,0.0,1038.3333333333,0.0,0.0,0.0,0.0,800.0,800.0,1037.0,800.0,1006.3333333333,276.453,975.3333333333,271.6613333333,271.6613333333,801.0,276.453,75.3333333333,271.6613333333,281.803,266.878,281.803,271.6736666667,271.6736666667,281.803,271.6736666667,276.453,266.878,266.878
